teff,logg,mh,alpha,node
37500,4.5,-1,0,1090
37500,4.5,-0.699,0,1091
37500,4.5,-0.301,0,1092
37500,4.5,0,0,1094
37500,4.5,0.301,0,1095
37500,4.75,-1,0,1096
37500,4.75,-0.699,0,1097
37500,4.75,-0.301,0,1098
37500,4.75,0,0,1100
37500,4.75,0.301,0,1101
40000,3.5,-1,0,1102
40000,3.5,-0.699,0,1103
40000,3.5,-0.301,0,1104
40000,3.5,0,0,1106
40000,3.5,0.301,0,1107
40000,3.75,-1,0,1108
40000,3.75,-0.699,0,1109
40000,3.75,-0.301,0,1110
40000,3.75,0,0,1112
40000,3.75,0.301,0,1113
40000,4,-1,0,1114
40000,4,-0.699,0,1115
40000,4,-0.301,0,1116
40000,4,0,0,1118
40000,4,0.301,0,1119
40000,4.25,-1,0,1120
40000,4.25,-0.699,0,1121
40000,4.25,-0.301,0,1122
40000,4.25,0,0,1124
40000,4.25,0.301,0,1125
40000,4.5,-1,0,1126
40000,4.5,-0.699,0,1127
40000,4.5,-0.301,0,1128
40000,4.5,0,0,1130
40000,4.5,0.301,0,1131
40000,4.75,-1,0,1132
40000,4.75,-0.699,0,1133
40000,4.75,-0.301,0,1134
40000,4.75,0,0,1136
40000,4.75,0.301,0,1137
42500,3.75,-1,0,1138
42500,3.75,-0.699,0,1139
42500,3.75,-0.301,0,1140
42500,3.75,0,0,1142
42500,3.75,0.301,0,1143
42500,4,-1,0,1144
42500,4,-0.699,0,1145
42500,4,-0.301,0,1146
42500,4,0,0,1148
42500,4,0.301,0,1149
